Channel Size [nm],dN/log(dP) 2014 EEPS,dN/log(dP) 2005 EEPS,% Difference
6.04,0,0,0
6.98,0,0,0
8.06,0,0,0
9.31,0,0,0
10.8,299950,247263,21.30808087
12.4,1.50E+06,1.34E+06,12.21964713
14.3,2.60E+06,2.31E+06,12.28609134
16.5,3.58E+06,3.17E+06,13.07387813
19.1,4.55E+06,3.99E+06,13.87896522
22.1,5.49E+06,4.78E+06,14.70937576
25.5,6.06E+06,5.28E+06,14.7390531
29.4,6.28E+06,5.50E+06,14.19252885
34,6.26E+06,5.49E+06,14.08374701
39.2,6.00E+06,5.24E+06,14.40215733
45.3,5.76E+06,5.00E+06,15.23405294
52.3,5.54E+06,4.75E+06,16.66182073
60.4,5.09E+06,4.31E+06,18.02182975
69.8,4.42E+06,3.70E+06,19.49072347
80.6,3.64E+06,3.04E+06,20.03115306
93.1,2.77E+06,2.33E+06,18.88318897
107.5,2.08E+06,1.78E+06,16.97847301
124.1,1.59E+06,1.40E+06,14.09399336
143.3,1.21E+06,1.11E+06,9.329199041
165.5,940078,917925,2.413377999
191.1,687881,720342,-4.506331715
220.7,456334,516675,-11.67871486
254.8,275682,338209,-18.48768069
294.3,145924,184946,-21.09913164
339.8,66581.9,90433.7,-26.37490228
392.4,37656.3,54673.1,-31.12462985
453.2,19645.3,32025.1,-38.65655377
523.3,12548.9,22489.7,-44.20156783
