F-18E&F,F414-GE-400,Afterburner (97% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,134.7,134.7,138.7,138.7,132.8,132.8,146.1,146.1
250,133.2,133.2,137.1,137.1,130.6,130.6,143.9,143.9
315,131.6,130.5,135.5,134.7,128.4,127.3,141.6,140.9
400,129.9,127.9,133.7,132.1,126.2,124.2,139.3,137.7
500,128.2,125.5,131.9,129.6,123.9,121.1,136.9,134.6
630,126.5,123,130,127,121.5,118.1,134.4,131.4
800,124.7,120.5,127.9,124.2,119.1,114.9,131.7,128
1000,122.8,117.9,125.7,121.3,116.7,111.8,128.9,124.4
1250,120.9,115.5,123.3,118.2,114.1,108.7,125.9,120.7
1600,118.9,113.2,120.8,115.4,111.5,105.9,122.8,117.4
2000,116.8,111,118.4,112.7,108.9,103,119.8,114.1
2500,114.7,108.8,116,110,106.1,100.2,116.8,110.7
3150,112.4,106.6,113.6,107.3,103.3,97.5,113.8,107.4
4000,110,104.4,110.9,104.4,100.3,94.7,110.7,104.2
5000,107.5,101.9,108.1,101.2,97.2,91.6,107.5,100.6
6300,104.9,99.3,105.2,97.9,93.9,88.3,104.2,96.9
8000,102.1,96.2,102.2,94.2,90.6,84.6,100.8,92.7
10000,99.2,92.7,99,90.5,87,80.6,97.2,88.7
12500,96,88.3,95.9,86.6,83.3,75.6,93.5,84.2
16000,92.7,83.4,92.8,82.2,79.4,70.1,89.8,79.1
20000,89.2,78.2,89.4,77.3,75.2,64.2,85.8,73.7
25000,85.4,72.7,85.7,72,70.8,58.2,81.5,67.7
